ticker,consecutive_years,tier,updated
ALSN,0,--,2026-03-09
AMGN,0,--,2026-03-09
ASML,0,--,2026-03-09
BKH,0,--,2026-03-09
CEF,0,--,2026-03-09
CFR,0,--,2026-03-09
CGGR,0,--,2026-03-09
CLX,0,--,2026-03-09
CME,0,--,2026-03-09
CNP,0,--,2026-03-09
COR,0,--,2026-03-09
CSCO,0,--,2026-03-09
CVX,0,--,2026-03-09
DGX,0,--,2026-03-09
DVN,0,--,2026-03-09
EMN,0,--,2026-03-09
ETR,0,--,2026-03-09
EWZ,0,--,2026-03-09
GD,0,--,2026-03-09
HD,0,--,2026-03-09
HII,0,--,2026-03-09
HRL,0,--,2026-03-09
INGR,0,--,2026-03-09
JKHY,0,--,2026-03-09
JNJ,0,--,2026-03-09
JPM,0,--,2026-03-09
KOF,0,--,2026-03-09
LECO,0,--,2026-03-09
MDT,0,--,2026-03-09
MKC,0,--,2026-03-09
MSFT,0,--,2026-03-09
MSM,0,--,2026-03-09
NKE,0,--,2026-03-09
NVO,0,--,2026-03-09
O,0,--,2026-03-09
PAYX,0,--,2026-03-09
PEP,0,--,2026-03-09
PFE,0,--,2026-03-09
PFG,0,--,2026-03-09
PG,0,--,2026-03-09
POR,0,--,2026-03-09
PRFZ,0,--,2026-03-09
PSX,0,--,2026-03-09
PXF,0,--,2026-03-09
PXH,0,--,2026-03-09
RGA,0,--,2026-03-09
RSP,0,--,2026-03-09
SNA,0,--,2026-03-09
SWK,0,--,2026-03-09
TROW,0,--,2026-03-09
TTE,0,--,2026-03-09
TXN,0,--,2026-03-09
UL,0,--,2026-03-09
UNP,0,--,2026-03-09
UPS,0,--,2026-03-09
VZ,0,--,2026-03-09
XOM,0,--,2026-03-09
XOP,0,--,2026-03-09
